ルマン24時間耐久レース,ルマンニジュウヨジカンタイキュウレース
実感RT,ジッカンアールティー
米国型,ベイコクガタ
大学入試,ダイガクニュウシ
入試制度,ニュウシセイド
米国型,ベイコクガタ
大学入試,ダイガクニュウシ
入試制度,ニュウシセイド
米国大学,ベイコクダイガク
大学入試,ダイガクニュウシ
社会格差,シャカイカクサ
絶望感,ゼツボウカン
人間力入試,ニンゲンリョクニュウシ
L型大学,エルガタダイガク
大学選別,ダイガクセンベツ
模擬テスト,モギテスト
全国ランク,ゼンコクランク
人間努力,ニンゲンドリョク
TrinityNYC,トリニティエヌワイシー
アイビー校,アイビーコウ
入学審査,ニュウガクシンサ
ハーバード,ハーバード
入学難,ニュウガクナン
難化,ナンカ
米エリート,ベイエリート
エリート大学,エリートダイガク
入学難易度,ニュウガクナンイド
キャッシュブロッキング,キャッシュブロッキング
プログラミング演習,プログラミングエンシュウ
プログラミングコスト,プログラミングコスト
変量解析,ヘンリョウカイセキ
あちこち矛盾,アチコチムジュン
矛盾だらけ,ムジュンダラケ
普遍量,フヘンリョウ
重要性,ジュウヨウセイ
世間知らず,セケンシラズ
ガリ勉たち,ガリベンタチ
就活生,シュウカツセイ
来年弊社,ライネンヘイシャ
弊社入社,ヘイシャニュウシャ
テレビ朝日さん,テレビアサヒサン
f1jp,エフワンジェーピー
lowpower,ロウパワー
コア演算,コアエンザン
演算チップ,エンザンチップ
チップ搭載,チップトウサイ
名刺サイズ,メイシサイズ
サイズスパコン,サイズスパコン
Parallella,パラレルエルエー
モバイルGPU,モバイルジーピーユー
北海道以外,ホッカイドウイガイ
アメリカ北部,アメリカホクブ
メーカー側,メーカーガワ
なっちゃったの,ナッチャッタノ
低い断熱,テイイダンネツ
断熱性,ダンネツセイ
後進国ニッポン,コウシンコクニッポン
自動車評論家,ジドウシャヒョウロンカ
徳大寺有恒さん,トクダイジアリツネサン
さん死去,サンシキョ
数多く,スウオオク
徳大寺有恒さん,トクダイジアリツネサン
７日,ナナニチ
日夜,ニチヨル
７４,ナナヨン
４歳,ヨンサイ
水曜朝,スイヨウアサ
結合網,ケツゴウモウ
注目点,チュウモクテン
サプライズパーティー,サプライズパーティー
個人データ,コジンデータ
入力傾向,ニュウリョクケイコウ
地域ごと,チイキゴト
人が検索,ジンガケンサク
解説つき,カイセツツキ
年先,ネンサキ
Jamessorry,ジェームスソーリー
toa,トゥアール
inEurope,インユーロップ
TokyoTech,トウキョウテック
biginfluence,ビッグインフルエンス
influencein,インフルエンスイン
ininternational,インインターナショナル
internationalHPC,インターナショナルエイチピーシー
HPCcommunity,エイチピーシーコミュニティ
communityfor,コミュニティフォー
forJapan,フォージャパン
Japanas,ジャパンアズ
asonly one,アズオンリーワン
otherJapan,アザージャパン
JapanU.,ジャパンユー
TokyoTech,トウキョウテック
Techdesign,テックデザイン
designed,デザインイーディー
edby,イーディービーワイ
bywill,ビーワイウィル
readyas,レディーアズ
PFin,ピーエフイン
TokyoTech,トウキョウテック
Techis,テックイズ
isnow,イズナウ
nowpresent,ナウプレゼント
presenting,プレゼントアイエヌジー
Japanon,ジャパンオン
whois,フーイズ
結局日本,ケッキョクニッポン
Newblog,ニューブログ
blogpost,ブログポスト
onLustre,オンルスター
Lustreare,ルスターアレ
allfor,アルバニアレクフォー
母校凋落,ボコウチョウラク
凋落悲哀,チョウラクヒアイ
武蔵中,ムサシチュウ
お土産問題,オミヤゲモンダイ
武蔵中,ムサシチュウ
時代遅れ感,ジダイオクレカン
感RT,カンアールティー
大学入試,ダイガクニュウシ
入試改革,ニュウシカイカク
私立名門,シリツメイモン
名門中学,メイモンチュウガク
中学入試,チュウガクニュウシ
絶賛格差社会,ゼッサンカクサシャカイ
入試制度,ニュウシセイド
有名大学,ユウメイダイガク
大学入試,ダイガクニュウシ
入試改革,ニュウシカイカク
私立名門,シリツメイモン
名門中学,メイモンチュウガク
中学入試,チュウガクニュウシ
八位,ハチイ
位東工大,イトウコウダイ
大学ランキング,ダイガクランキング
東京大学２,トウキョウダイガクニ
京都大学,キョウトダイガク
学意外,ガクイガイ
倍半,バイハン
半程度,ハンテイド
倍以上,バイイジョウ
新卒就職,シンソツシュウショク
就職後,シュウショクゴ
後貯金,ゴチョキン
学位取得,ガクイシュトク
TrinityNYC,トリニティエヌワイシー
生涯教育,ショウガイキョウイク
就業時期,シュウギョウジキ
大学選択,ダイガクセンタク
選択法,センタクホウ
就職時期,シュウショクジキ
柔軟性,ジュウナンセイ
米国流,ベイコクリュウ
格差固定,カクサコテイ
みんな統計,ミンナトウケイ
キロバイト,キロバイト
バイト級,バイトキュウ
Nスペ記念,エヌスペキネン
竹槍精神,タケヤリセイシン
人がたくさん,ジンガタクサン
企業経営者,キギョウケイエイシャ
企業経営者,キギョウケイエイシャ
経営者たち,ケイエイシャタチ
デフレ脳,デフレノウ
脳的,ノウテキ
的発想,テキハッソウ
先行真っ暗,センコウマックラ
高度経済成長期,コウドケイザイセイチョウキ
集団単位,シュウダンタンイ
人間なんてボンクラ,ニンゲンナンテボンクラ
企業側,キギョウガワ
一人前,イチニンマエ
一人前,イチニンマエ
企業側,キギョウガワ
求職者側,キュウショクシャガワ
デフレ脳,デフレノウ
寝言みたい,ネゴトミタイ
企業側,キギョウガワ
求職者側,キュウショクシャガワ
今以上,イマイジョウ
深刻化,シンコクカ
こと自体,コトジタイ
専門学校紛い,センモンガッコウマガイ
アフォみたい,アフォミタイ
本格化,ホンカクカ
料簡なんだろう,リョウケンナンダロウ
予算執行,ヨサンシッコウ
asin,アズイン
VMon,ブイエムオン
onall,オンアルバニアレク
allthe,アルバニアレクザ
総長bot,ソウチョウボット
活性度,カッセイド
万円,マンエン
経済的効果,ケイザイテキコウカ
税収増,ゼイシュウゾウ
万円,マンエン
男子学生,ダンシガクセイ
OECD平均,オーイーシーディーヘイキン
ドル投資,ドルトウシ
経済的リターン,ケイザイテキリターン
倍以上,バイイジョウ
学生教育,ガクセイキョウイク
大変志,タイヘンココロザシ
所謂L型,イワユルエルガタ
L型大学,エルガタダイガク
大変危惧,タイヘンキグ
数万,スウマン
万円,マンエン
公的負担,コウテキフタン
問題以外,モンダイイガイ
全体的,ゼンタイテキ
日本の高等教育システム,ニホンノコウトウキョウイクシステム
職能化,ショクノウカ
提案施策,テイアンシサク
L型等,エルガタトウ
創業社長,ソウギョウシャチョウ
経営卒,ケイエイソツ
Fラン大,エフランダイ
私学化,シガクカ
上位大学,ジョウイダイガク
階層間,カイソウカン
間移動,カンイドウ
高度教育,コウドキョウイク
文科省自身,モンカショウジシン
白書本文,ハクショホンブン
人間皆,ニンゲンミナ
皆平等,ミナビョウドウ
教育機会,キョウイクキカイ
社会中間層,シャカイチュウカンソウ
教育機会均等,キョウイクキカイキントウ
では生来,デハセイライ
イノベーション人材,イノベーションジンザイ
若年層,ジャクネンソウ
層人口,ソウジンコウ
人口減少,ジンコウゲンショウ
私学化,シガクカ
上位大学,ジョウイダイガク
階層間,カイソウカン
間移動,カンイドウ
人間力入試,ニンゲンリョクニュウシ
間接的,カンセツテキ
あたり計量経済学,アタリケイリョウケイザイガク
学際研究,ガクサイケンキュウ
年々上昇,ネンネンジョウショウ
高齢化要因,コウレイカヨウイン
要因説,ヨウインセツ
生活保護急増,セイカツホゴキュウゾウ
過去日本,カコニッポン
米国的,ベイコクテキ
的悪循環,テキアクジュンカン
良データ,リョウデータ
公財政支出,オオヤケザイセイシシュツ
英米,エイベイ
米韓,ベイカン
所得格差指標,ショトクカクサシヒョウ
forthe,フォーザ
theWii U,ザウィーユー
相続税増税,ソウゾクゼイゾウゼイ
格差縮小,カクサシュクショウ
大学改革,ダイガクカイカク
人間力入試,ニンゲンリョクニュウシ
特定職業訓練,トクテイショクギョウクンレン
事前カテゴリ,ジゼンカテゴリ
カテゴリ化,カテゴリカ
国立文系,コクリツブンケイ
文系廃止,ブンケイハイシ
米国大学,ベイコクダイガク
盲目的礼賛,モウモクテキライサン
